origem_id,destino_id,tempo_seg,distancia_km,nome_origem,nome_destino,linha_origem
9.115,9.7,170,1.62,Полянка,Боровицкая,1
97.828,97.829,161,1.514,Текстильщики,Печатники,1
7.146,7.18,159,1.493,Улица 1905 года,Беговая,1
131.705,131.706,134,1.202,Рабочий Посёлок,Сетунь,1
6.157,6.94,152,1.414,Шаболовская,Октябрьская,1
95.532,95.533,105,0.871,Верхние Котлы,Крымская,1
2.153,2.96,190,1.853,Царицыно,Орехово,1
2.45,2.53,252,2.566,Каширская,Коломенская,1
9.123,9.154,116,0.996,Чеховская,Цветной бульвар,1
6.3,6.74,231,2.323,Академическая,Ленинский проспект,1
131.699,131.700,212,2.107,Савёловская,Белорусская,1
97.824,97.832,189,1.839,Варшавская,Каширская,1
2.2,2.512,148,1.369,Автозаводская,Технопарк,1
5.36,5.93,92,0.72,Добрынинская,Октябрьская,1
3.69,3.84,226,2.271,Кунцевская,Молодежная,1
132.725,132.726,214,2.127,Площадь трёх вокзалов,Курская,1
2.29,2.30,231,2.321,Водный стадион,Войковская,1
95.515,95.516,144,1.314,Окружная,Владыкино,1
97.810,97.811,178,1.707,Кунцевская,Давыдково,1
135.846,135.847,146,1.341,Грачёвская,Моссельмаш,1
95.523,95.524,141,1.28,Соколиная Гора,Шоссе Энтузиастов,1
135.850,135.851,304,3.166,Останкино,Рижская,1
6.157,6.74,200,1.963,Шаболовская,Ленинский проспект,1
136.896,136.897,174,1.667,Ермакова Роща,Тестовская,1
10.596,10.598,109,0.914,Окружная,Верхние Лихоборы,1
10.546,10.547,151,1.396,Бутырская ,Фонвизинская,1
98.675,98.676,195,1.912,Косино,Улица Дмитриевского,1
136.892,136.893,196,1.924,Марьина Роща,Савёловская,1
136.904,136.905,270,2.78,Мещерская,Солнечная,1
12.466,12.467,243,2.462,Лесопарковая,Битцевский Парк,1
132.718,132.744,248,2.525,Тушинская,Трикотажная,1
136.897,136.898,117,1.004,Тестовская,Кутузовская,1
95.518,95.519,229,2.3,Ростокино,Белокаменная,1
132.743,132.917,3593,41.189,Подольск,Марьина Роща,1
97.803,97.825,200,1.965,Электрозаводская,Лефортово,1
10.187,10.79,190,1.853,Борисово,Марьино,1
95.544,95.545,214,2.131,Коптево,Лихоборы,1
1.680,1.681,135,1.217,Ольховая,Новомосковская (Коммунарка),1
9.141,9.35,139,1.263,Тимирязевская,Дмитровская,1
97.826,97.827,235,2.37,Авиамоторная,Нижегородская,1
132.714,132.715,236,2.383,Красногорская,Павшино,1
132.715,132.716,157,1.469,Павшино,Пенягино,1
137.921,137.961,229,2.306,Новаторская,Вавиловская,1
7.139,7.68,203,1.997,Текстильщики,Кузьминки,1
97.805,97.806,190,1.852,Мнёвники,Народное Ополчение,1
133.555,133.556,228,2.29,Минская,Ломоносовский проспект,1
3.161,3.17,200,1.962,Электрозаводская,Бауманская,1
135.841,135.842,226,2.269,Новоподрезково,Молжаниново,1
8.107,8.88,195,1.905,Перово,Новогиреево,1
7.146,7.16,137,1.237,Улица 1905 года,Баррикадная,1
136.912,136.913,266,2.723,Кокошкино,Санино,1
